customerKey,dateKey,salesPersonKey,Quantity,Price,Margin,Cost,OverHead,returns,Sales,Expenses,net profit,net margin,City,State,Country,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Age,Purchased Bike,Product,Product Sub Category,Product Category,Color,Size,Weight,Class,Style,Promotion,Promotion Category,Promotion Type,Manufacturer,Manufacturer Grouping,Market
216806,2008-06-28,289,1,1315.0,0.3,920.5,118.35,0.0,1315.0,920.5,276.15,21.0,Huntington,New York,United States,Single,Male,110000,0,Partial College,Management,No,3,10+ Miles,32,Yes,Road-250,Road Bikes,Bikes,Red,58,15.79,H ,U ,Mountain-100 Clearance Sale,Reseller,Discontinued Product,Slicenger,New Comers,Stable
74258,2008-12-04,295,1,1315.0,0.3,920.5,118.35,0.0,1315.0,920.5,276.15,21.0,Kenilworth,New Jersey,United States,Single,Female,20000,0,Partial College,Manual,No,1,2-5 Miles,36,Yes,Road-250,Road Bikes,Bikes,Red,58,15.79,H ,U ,Sport Helmet Discount-2003,Reseller,Seasonal Discount,Nuke,Incumbents,Growing
64738,2008-06-19,292,1,29.0,0.37,18.27,3.219,0.0,29.0,18.27,7.511,25.9,Frankfort,Kentucky,United States,Married,Male,100000,4,Partial College,Professional,Yes,4,0-1 Miles,40,No,Road Bottle Cage,Bottles and Cages,Accessories,Unknown,0,0.0,N,U,LL Road Frame Sale,Reseller,Excess Inventory,Princess,New Comers,Growing
268812,2009-10-23,282,1,327.24,0.27,238.8852,17.67096,0.0,327.24,238.8852,70.68384,21.6,New York,New York,United States,Married,Male,40000,0,Partial College,Skilled Manual,Yes,1,5-10 Miles,29,No,ML Headset,Headsets,Components,Unknown,0,0.0,M ,U,Volume Discount 11 to 14,Reseller,Volume Discount,Ribuck,New Comers,Stable
400368,2009-06-11,288,1,1322.88,0.24,1005.3888,95.24736,0.0,1322.88,1005.3888,222.24384,16.8,London,England,United Kingdom,Married,Female,90000,2,Bachelors,Professional,No,0,0-1 Miles,36,Yes,Road-650,Road Bikes,Bikes,Red,62,20.0,L ,U ,Volume Discount over 60,Reseller,Volume Discount,Nuke,Incumbents,Growing
400596,2008-05-01,288,1,73.0,0.48,37.96,7.008,0.0,73.0,37.96,28.032,38.4,Metchosin,British Columbia,Canada,Married,Female,60000,1,Bachelors,Professional,Yes,1,2-5 Miles,48,Yes,Classic Vest,Vests,Clothing,Blue,S,0.0,N,U ,Volume Discount 11 to 14,Reseller,Volume Discount,Old Balance,Incumbents,Shrinking
149462,2008-05-17,284,1,2000.0,0.31,1380.0,62.0,0.0,2000.0,1380.0,558.0,27.9,Jersey City,New Jersey,United States,Single,Male,80000,2,High School,Skilled Manual,No,2,1-2 Miles,50,Yes,Mountain-500,Mountain Bikes,Bikes,Silver,42,27.77,L ,U ,Road-650 Overstock,Reseller,Excess Inventory,Princess,New Comers,Growing
101081,2009-10-13,282,3,48.0,1.0,38.4,3.456,0.0,144.0,115.2,25.344,17.6,Burlington,North Carolina,United States,Married,Male,100000,5,Graduate Degree,Management,No,1,1-2 Miles,78,Yes,Internal Lock Washer,Other,Accessories,Unknown,4,0.0,N,U,Mountain-500 Silver Clearance Sale,Reseller,Discontinued Product,Woolson,New Comers,Stable
197260,2010-10-24,294,1,67.2384,0.172,55.6733952,2.31300096,0.0,67.2384,55.6733952,9.25200384,13.8,Oklahoma City,Oklahoma,United States,Single,Female,70000,2,Partial College,Professional,Yes,0,5-10 Miles,49,Yes,LL Road Frame,Road Frames,Components,Red,44,2.32,L ,U ,Touring-1000 Promotion,Reseller,New Product,Old Balance,Incumbents,Shrinking
400140,2008-11-08,283,1,65.0,0.62,24.7,8.06,0.0,65.0,24.7,32.24,49.6,Coffs Harbour,New South Wales,Australia,Married,Male,80000,4,Partial College,Professional,Yes,2,10+ Miles,53,No,Men's Bib-Shorts,Bib-Shorts,Clothing,Multi,S,0.0,N,M ,Volume Discount 11 to 14,Reseller,Volume Discount,Old Balance,Incumbents,Shrinking
162389,2010-11-07,287,1,46.0616,0.27,33.624968,1.2436632,0.0,46.0616,33.624968,11.1929688,24.3,Morgan City,Louisiana,United States,Married,Male,50000,0,Graduate Degree,Skilled Manual,Yes,0,0-1 Miles,32,No,ML Mountain Tire,Tires and Tubes,Accessories,Unknown,0,0.0,M ,U,Mountain-100 Clearance Sale,Reseller,Discontinued Product,Woolson,New Comers,Stable
234989,2008-01-26,289,1,1235.0,0.16,1037.4,19.76,0.0,1235.0,1037.4,177.84,14.4,New York,New York,United States,Single,Male,160000,2,High School,Management,Yes,4,0-1 Miles,33,Yes,Road-550-W,Road Bikes,Bikes,Yellow,48,18.68,M ,W ,Mountain-100 Clearance Sale,Reseller,Discontinued Product,Princess,New Comers,Growing
