row;transactionID;customerKey;ProductKey;dateKey;PromotionKey;salesPersonKey;manfKey;Quantity;Price;Margin;Cost;OverHead;returns;Sales;Expenses;net profit;net margin
076CE773-4C1C-4596-8A87-0000371819E9;0EA1C9F7-E71D-4B48-B367-6ED31A7BF6E7;216806;371;06.28.2008;7;289;106;1;1315;0,3;920,5;118,35;NULL;1315;920,5;276,15;21,0%
CE4F8899-8411-47D9-A897-00005E7E858C;A06E98DA-4CD3-405A-9F18-C591BB749713;74258;371;12.04.2008;11;295;101;1;1315;0,3;920,5;118,35;NULL;1315;920,5;276,15;21,0%
5FAE8BC7-266A-4E73-AE5B-0000882F5CC2;B45CC954-E973-4BBE-A11E-0A22D1F32473;64738;479;06.19.2008;12;292;110;1;29;0,37;18,27;3,219;NULL;29;18,27;7,511;25,9%
DD20561E-C2CE-4E50-845A-0000ECB05AE2;B92F2D23-7237-4B4D-AAB2-E4F5DAE073D3;268812;395;10.23.2009;2;282;108;1;327,24;0,27;238,8852;17,67096;NULL;327,24;238,8852;70,68384;21,6%
9FA2549E-B835-42B1-B2BA-00011933A776;9B30BBC4-F463-421C-9AB4-D30C0F3C6CF4;400368;324;06.11.2009;6;288;101;1;1322,88;0,24;1005,3888;95,24736;NULL;1322,88;1005,3888;222,24384;16,8%
03A04F7E-AE71-49D2-AA5D-00014759EDF9;D37BBBA8-D638-43C1-8210-1412EECF33A4;400596;471;05.01.2008;2;288;102;1;73;0,48;37,96;7,008;NULL;73;37,96;28,032;38,4%
006F37FF-E318-4DC8-8E94-000149E7855F;70874079-806B-476B-B6F4-CE868DC06481;149462;592;05.17.2008;9;284;110;1;2000;0,31;1380;62;NULL;2000;1380;558;27,9%
B7B496C7-A1A0-48CA-8587-00015016721D;923DE8DA-EB48-456D-A7D9-59C6E4B7FA73;101081;92;10.13.2009;16;282;109;3;48;1;38,4;3,456;0;144;115,2;25,344;17,6%
48DCE84C-D74A-4EFF-A160-0001639DF8B5;A3BD6D94-D1C4-4A4B-9DF8-D84D34AD4E71;197260;263;10.24.2010;14;294;102;1;67,2384;0,172;55,6733952;2,31300096;NULL;67,2384;55,6733952;9,25200384;13,8%
83E1422D-CF54-4176-8C93-0001BD41063E;116A30CA-24D5-4DF3-AF52-A7446F9872DC;400140;459;11.08.2008;2;283;102;1;65;0,62;24,7;8,06;NULL;65;24,7;32,24;49,6%
